	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15
MCA_RS04035	23473	9919	24172	7117	15588	15819	22039	18645	19579	22851	27838	18604	10357	37126	16573
MCA_RS04040	6539	2369	6195	1324	2823	1517	6073	4664	5706	6855	8388	3551	2101	7835	3442
MCA_RS04045	1539	235	1193	278	383	450	1857	931	970	574	1658	565	315	995	1053
MCA_RS04050	5261	1835	5289	1205	2854	3776	4550	4031	3703	4423	4509	4116	2387	7306	4309
MCA_RS04055	3364	2433	4502	1654	2200	3804	3559	2840	3361	4752	4189	3974	2742	5571	4128
MCA_RS15585	508	107	582	43	78	225	271	0	423	242	282	0	173	270	124
MCA_RS04060	3557	1585	2913	533	1008	1165	2256	1792	3471	2715	3945	3542	1668	5221	2855
MCA_RS04065	5741	1989	2836	298	70	610	2845	2543	2713	2218	4679	2101	1521	3908	2807
MCA_RS04070	4096	1281	3950	780	683	972	2428	2670	2853	3399	2254	2982	2185	7270	2048
MCA_RS04075	10212	2599	7816	1974	3653	4776	4079	2895	5800	8265	4884	8536	4455	14156	4440
MCA_RS04080	2958	352	2942	414	1571	1707	848	467	1765	1681	1010	2683	924	4461	1345
MCA_RS04085	8320	1798	8659	2527	6156	6726	5961	2952	8271	8657	8105	6418	4726	14904	6292
MCA_RS04090	2683	542	2130	803	1940	2127	1739	1079	2562	1540	2575	2234	1496	4146	1158
MCA_RS04095	13572	5049	14516	4787	13893	14320	7898	4752	14283	11461	10305	13494	7613	19682	9749
MCA_RS04100	9579	3004	8965	3312	7355	9575	5170	2918	8094	7766	8192	11461	6593	15192	6878
MCA_RS04105	6850	1552	8284	1522	4524	5833	4086	2529	5807	5912	5292	9614	5812	11442	5017
MCA_RS04110	859	234	1010	152	729	379	386	605	1354	826	1051	814	694	1385	1150
MCA_RS04115	1982	896	2193	515	2230	2228	1001	737	2345	1085	1186	1338	975	3610	1480
MCA_RS04120	2174	887	1189	529	269	484	737	686	1772	1091	1060	1474	806	1736	2122
MCA_RS04125	678	158	202	197	117	101	213	0	423	416	665	721	81	549	680
MCA_RS04130	3656	2185	4825	1857	2394	3941	2860	2508	2950	3831	3841	4822	2251	7979	3844
MCA_RS16215	830	68	374	3	76	268	338	98	304	54	562	481	272	923	326
MCA_RS04140	7746	2575	8036	1501	3912	4039	4265	2950	7308	7074	3989	6252	5517	11624	4673
MCA_RS04145	2042	413	2723	208	1221	1289	1697	618	1642	2085	1869	3451	1030	3421	1100
