	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15
MCA_RS09330	6.676793482	6.697887107	6.75700821	6.60950642	7.469184743	7.125404664	6.616728757	6.53464434	6.402132735	6.819870209	6.326905926	6.813407788	6.083725644	6.334362201	6.526944941
MCA_RS09335	8.196868424	7.67600463	7.747784443	6.87822354	6.062514636	7.12241388	7.703176552	8.380782624	7.363369352	7.889179075	8.142753144	7.815948891	7.386272899	7.431458086	7.880996695
MCA_RS09340	7.466306062	7.338154966	6.856550456	7.074839505	7.287728042	7.089099431	6.948559723	7.224631517	6.704609675	6.97115792	7.293154884	6.71441758	6.766689208	6.694486504	6.753829115
MCA_RS09345	8.089209351	6.93784834	6.914830931	7.01328016	6.400362024	6.754771291	7.480058393	8.010778322	6.686755734	6.527192018	7.336564888	5.849342742	6.28503298	6.646789258	6.23326532
MCA_RS09350	8.741335283	7.198537376	7.587814508	7.255841358	6.25047221	7.525667049	8.367340763	9.615282958	7.440550843	7.479974546	8.301320152	6.378950034	7.093920608	7.112956639	7.464937629
MCA_RS09355	9.890995725	7.723916992	8.0688909	8.279843815	6.334153899	8.697803376	10.20032626	11.5875148	7.685702101	7.731039183	9.252881137	7.331952168	6.556426077	6.528523569	7.54050335
MCA_RS09360	6.198063816	4.848898041	3.831459467	4.969749952	2.210304492	4.610427317	7.056850302	7.916237727	3.819942823	4.792607278	6.239294212	3.927730227	3.111869658	4.74752407	4.446016317
MCA_RS09365	7.312467843	7.191958367	7.118988204	7.103184838	7.451691686	7.464156301	6.881194463	7.298815244	7.091397116	6.45692373	6.74527711	7.173545386	7.172335694	6.851032633	7.315960342
MCA_RS09370	9.312432125	9.567199446	9.275374841	8.226591373	7.871804679	8.814324975	9.119820521	8.677641087	9.520432734	9.337244756	9.100418198	9.183277411	9.605203756	9.257408727	9.392931048
MCA_RS09375	9.593486523	9.941813893	9.798338941	9.66209039	9.42309028	9.96747276	9.759540447	9.767588987	9.747348835	9.517113941	9.751593202	9.705655786	9.937437089	9.732960625	9.741031037
MCA_RS09380	6.928903067	7.32016761	7.049069359	6.528215467	6.913695634	6.921654148	6.619986395	6.732054107	7.318636668	7.179855319	6.664688292	7.641376761	7.980754602	7.284879314	7.007494501
MCA_RS09385	6.615355474	6.579663435	6.800021986	6.711871574	6.564762626	6.552759053	6.080135873	6.357463418	6.314349692	6.520259305	6.887039991	7.370900619	7.121483635	6.798498171	7.035056527
MCA_RS09390	8.864212759	8.478691687	9.018037809	9.161195321	9.363835679	9.445346615	8.70856835	8.26371316	9.046128299	8.896425616	8.692412377	9.421818753	9.250947414	9.129300554	9.193817513
MCA_RS09395	5.249575617	5.910585371	4.819833243	4.155455206	5.419271011	5.51804318	4.43000553	4.580713775	4.852617294	4.408060899	5.383189172	3.141655818	3.530391366	4.99057595	5.565311644
MCA_RS09400	6.71087275	6.869863922	6.141987829	6.355420129	7.007825954	6.870521734	6.5903994	6.771383686	6.670152298	6.307889355	6.697720462	6.467266556	6.393581216	6.545117649	6.677182127
MCA_RS09405	8.652067035	8.153312852	8.567688864	7.920272305	8.181445746	7.806967488	8.611585964	8.231171272	8.185231264	8.523787399	8.308558939	8.656666088	8.618511799	8.407229501	8.367671233
MCA_RS09410	6.301548358	6.080096379	6.567268123	6.478970105	7.504094689	7.195384137	6.338459141	6.158928825	6.443524679	6.187606817	6.200909158	6.650429639	6.796919244	6.350065864	6.691325825
MCA_RS09415	8.677339368	8.925061797	8.592037788	8.144989572	8.356300543	8.749894723	8.40030132	8.498972868	8.581791978	8.593563129	8.450981573	8.713329396	8.555704188	8.36705113	8.643126257
MCA_RS16035	4.318895042	4.952865023	4.011064739	5.093888798	2.483408414	3.266483403	4.459399675	4.681312369	2.913658378	2.846446521	4.96662373	3.726204372	4.687783669	3.656406847	5.181861556
MCA_RS09420	6.415990947	6.815736396	6.46743598	6.187223078	5.023594314	6.316735456	6.497105196	6.808928468	6.658316103	6.693064114	6.684084531	6.909130248	6.533525364	6.851032633	6.650143813
MCA_RS09425	6.778576915	5.685546436	6.984351134	7.350978016	7.155948934	6.742356943	6.821323635	7.009297774	6.661284268	6.718525293	6.689639681	7.545613736	7.476198779	6.970670732	6.789666798
MCA_RS09430	6.055458038	5.744682241	5.770222695	5.716854002	5.69533882	5.867239605	5.023035196	4.174226184	5.821698932	5.752545621	5.284983289	6.036206377	6.506775695	6.308800538	6.784093784
MCA_RS09435	1.400722136	-3.624563463	-3.624563463	-3.624563463	-3.624563463	-3.624563463	0.196531865	3.47783014	-0.576738174	1.24214555	0.81511964	-3.624563463	2.463593251	2.016103507	3.345279933
